"Computername","DeviceID","Size","FreeSpace","PctFree","Date"
"MYLENOVO","C:","789836050432","721401008128","91.3355382719528","4/2/2022 2:55:19 PM"
"MYLENOVO","D:","209714147328","209605038080","99.9479723950958","4/2/2022 2:55:19 PM"
"MYLENOVO","F:","249780076544","75453468672","30.2079612257259","4/2/2022 2:55:19 PM"
"MYLENOVO","G:","249140604928","67764006912","27.1991018612094","4/2/2022 2:55:19 PM"
